date,contract,IM_price,MO_price,basis,rolling_mean,upper,lower,basis_check,basis_definition_error,IM_change,MO_change,basis_change,IM_return,MO_return,previous_contract,contract_changed,previous_strike,strike_changed,strike_change,days_to_expiry,rolling_std,z_score,basis_change_std,basis_change_z,level_anomaly,change_anomaly,anomaly_strength
2023-05-25,202306,6451.8,6485.8,34.0,3.1330049261083968,26.745272616549627,-20.479262764332837,34.0,0.0,-64.0,-22.0,42.0,-0.009822278154639541,-0.0033805587141584326,202306,False,,False,,,8.769215207390927,3.5199267373294796,11.589031909787026,3.6241163478487515,True,True,3.6241163478487515
2023-08-16,202308,6204.4,6190.0,-14.399999999999636,3.20634920634921,25.073485071308188,-18.66078665860977,-14.399999999999636,0.0,-50.600000000000364,-83.0,-32.399999999999636,-0.00808952837729826,-0.013231308783676066,202308,False,,False,,,8.131277435143474,-2.165262389185493,10.996722927832401,-2.946332303962677,True,True,2.946332303962677
2023-09-15,202310,6044.6,6073.0,28.399999999999636,2.885714285714289,24.35929615436821,-18.587867582939623,28.399999999999636,0.0,-15.199999999999818,36.600000000000364,51.80000000000018,-0.0025083336083698837,0.006063216486647649,202309,True,,False,,,9.819984570746437,2.598200183561587,13.92779924895498,3.7191805449010045,True,True,3.7191805449010045
2023-12-05,202312,5973.8,5952.6,-21.199999999999815,3.207142857142871,21.473846567117597,-15.059560852831856,-21.199999999999818,3.552713678800501e-15,-95.19999999999982,-107.59999999999945,-12.399999999999633,-0.015686274509803866,-0.017755189597702947,202312,False,,False,,,9.213738315004061,-2.648994579908679,14.498418443876398,-0.8552657000486105,True,False,2.648994579908679
2024-01-18,202402,5194.0,5275.0,81.0,2.402380952380965,22.361557843579728,-17.556795938817796,81.0,0.0,-201.80000000000018,-74.60000000000036,127.19999999999982,-0.037399458838355826,-0.013944967848063428,202401,True,,False,,,11.399134470066883,6.895051484304306,17.10094320749171,7.438186213277119,True,True,7.438186213277119
2024-01-22,202402,4875.2,4821.2,-54.0,2.6158730158730297,25.01280525740244,-19.781059225656385,-54.0,0.0,-361.60000000000036,-399.60000000000036,-38.0,-0.06904980140543848,-0.07653999387067123,202402,False,,False,,,13.893590412325203,-4.074963442541697,23.122891364414244,-1.6433930947961546,True,False,4.074963442541697
2024-02-05,202402,4278.2,4170.4,-107.80000000000018,2.316666666666682,27.468511505659784,-22.835178172326422,-107.80000000000018,0.0,-202.80000000000018,-345.0000000000009,-142.20000000000073,-0.045257754965409513,-0.07640519112371014,202402,False,,False,,,16.584038937326113,-6.639918483236584,24.997733311383858,-5.688515763757008,True,True,6.639918483236584
2024-02-21,202403,5073.8,5007.2,-66.60000000000036,2.3611111111111183,32.690253445231484,-27.968031223009245,-66.60000000000036,0.0,76.80000000000018,17.599999999999454,-59.20000000000073,0.015369221532919752,0.003527336860670083,202403,False,,False,,,21.17622938365307,-3.256534006207253,32.571438191436805,-1.817543322835671,True,False,3.256534006207253
2024-02-29,202403,5288.4,5338.0,49.60000000000037,1.8968253968254112,35.213166806789715,-31.419516013138892,49.600000000000364,7.105427357601002e-15,98.0,219.0,121.0,0.018881011097410694,0.042781793319007555,202403,False,,False,,,23.696266167964765,2.0131093339787594,35.90789446414936,3.369732528338777,True,True,3.369732528338777
2024-09-26,202410,4875.2,4931.0,55.80000000000018,1.5642857142857245,38.19644204765402,-35.06787061908257,55.80000000000018,0.0,184.59999999999945,251.80000000000018,67.20000000000073,0.03935530635739548,0.05381261754146016,202410,False,,False,,,10.127432691916207,5.355327054309215,14.845435444450843,4.526643913642816,True,True,5.355327054309215
