date,contract,IM_price,MO_price,basis,rolling_mean,upper,lower,basis_check,basis_definition_error,IM_change,MO_change,basis_change,IM_return,MO_return,previous_contract,contract_changed,previous_strike,strike_changed,strike_change,days_to_expiry,rolling_std,z_score,basis_change_std,basis_change_z
2022-07-22,202208,6934.2,6955.2,21.0,,,,21.0,0.0,,,,,,,False,,False,,,,,,
2022-07-25,202208,6885.8,6877.799999999999,-8.00000000000091,,,,-8.00000000000091,0.0,-48.399999999999636,-77.40000000000055,-29.00000000000091,-0.006979896743676273,-0.011128364389234036,202208,False,,False,,,,,,
2022-07-26,202208,6964.4,6975.4,11.0,,,,11.0,0.0,78.59999999999945,97.60000000000036,19.00000000000091,0.011414795666443878,0.014190584198435552,202208,False,,False,,,,,,
2022-07-27,202208,7059.4,7063.0,3.600000000000364,,,,3.600000000000364,0.0,95.0,87.60000000000036,-7.399999999999636,0.013640801791970691,0.012558419588840852,202208,False,,False,,,,,,
2022-07-28,202208,7112.4,7113.0,0.6000000000003638,,,,0.6000000000003638,0.0,53.0,50.0,-3.0,0.007507720202850177,0.007079144839303497,202208,False,,False,,,,,,
2022-07-29,202208,7090.2,7090.4,0.1999999999998181,,,,0.1999999999998181,0.0,-22.199999999999818,-22.600000000000364,-0.4000000000005457,-0.003121309262696159,-0.0031772810347252545,202208,False,,False,,,,,,
2022-08-01,202208,7130.0,7136.4,6.399999999999636,,,,6.399999999999636,0.0,39.80000000000018,46.0,6.199999999999818,0.005613381851005572,0.006487645266839648,202208,False,,False,,,,,,
2022-08-02,202208,6975.4,6938.0,-37.39999999999963,,,,-37.399999999999636,7.105427357601002e-15,-154.60000000000036,-198.39999999999964,-43.799999999999265,-0.02168302945301548,-0.02780113222352998,202208,False,,False,,,,,,
2022-08-03,202208,6914.6,6880.0,-34.600000000000364,,,,-34.600000000000364,0.0,-60.79999999999927,-58.0,2.7999999999992653,-0.008716346015999021,-0.008359757855289751,202208,False,,False,,,,,,
2022-08-04,202208,6872.0,6899.0,27.0,,,,27.0,0.0,-42.600000000000364,19.0,61.600000000000364,-0.006160876984930508,0.002761627906976649,202208,False,,False,,,,,,
