date,交割月份,IM_settle,MO_synthetic,basis,rolling_mean,upper,lower
2022-07-22,202208,6934.2,6955.2,21.0,,,
2022-07-25,202208,6885.8,6877.799999999999,-8.00000000000091,,,
2022-07-26,202208,6964.4,6975.4,11.0,,,
2022-07-27,202208,7059.4,7063.0,3.600000000000364,,,
2022-07-28,202208,7112.4,7113.0,0.6000000000003638,,,
2022-07-29,202208,7090.2,7090.4,0.1999999999998181,,,
2022-08-01,202208,7130.0,7136.4,6.399999999999636,,,
2022-08-02,202208,6975.4,6938.0,-37.39999999999963,,,
2022-08-03,202208,6914.6,6880.0,-34.600000000000364,,,
2022-08-04,202208,6872.0,6899.0,27.0,,,
2022-08-05,202208,7051.4,7074.0,22.600000000000364,,,
2022-08-08,202208,7130.6,7129.4,-1.2000000000007276,,,
2022-08-09,202208,7154.4,7157.599999999999,3.199999999999818,,,
2022-08-10,202208,7158.2,7168.0,9.800000000000182,,,
2022-08-11,202208,7278.6,7275.8,-2.800000000000182,,,
2022-08-12,202208,7228.8,7220.0,-8.800000000000182,,,
2022-08-15,202208,7262.4,7265.6,3.2000000000007276,,,
2022-08-16,202208,7305.6,7308.6,3.0,,,
2022-08-17,202208,7325.8,7329.2,3.399999999999636,,,
2022-08-18,202209,7307.4,7309.4,2.0,,,
2022-08-19,202209,7203.2,7188.2,-15.0,,,
2022-08-22,202209,7239.4,7234.599999999999,-4.800000000000182,,,
2022-08-23,202209,7241.0,7253.2,12.199999999999818,,,
2022-08-24,202209,6977.6,6970.0,-7.600000000000364,,,
2022-08-25,202209,6913.8,6946.4,32.599999999999454,,,
2022-08-26,202209,6911.6,6918.8,7.199999999999818,,,
2022-08-29,202209,6953.8,6954.2,0.3999999999996362,,,
2022-08-30,202209,6932.4,6937.4,5.0,,,
2022-08-31,202209,6731.0,6714.0,-17.0,,,
2022-09-01,202209,6679.2,6684.6,5.400000000000546,,,
2022-09-02,202209,6725.4,6737.8,12.400000000000546,,,
2022-09-05,202209,6738.2,6751.200000000001,13.00000000000091,,,
2022-09-06,202209,6865.8,6879.4,13.599999999999454,,,
2022-09-07,202209,6917.8,6917.2,-0.6000000000003638,,,
2022-09-08,202209,6875.6,6874.0,-1.6000000000003638,,,
2022-09-09,202209,6910.2,6910.200000000001,9.094947017729282e-13,,,
2022-09-13,202209,6888.0,6892.2,4.199999999999818,,,
2022-09-14,202209,6822.4,6821.2,-1.199999999999818,,,
2022-09-15,202210,6496.8,6520.8,24.0,,,
2022-09-16,202210,6397.0,6399.4,2.399999999999636,,,
2022-09-19,202210,6298.2,6307.2,9.0,,,
2022-09-20,202210,6372.2,6388.200000000001,16.00000000000091,,,
2022-09-21,202210,6424.4,6410.799999999999,-13.600000000000364,,,
2022-09-22,202210,6438.4,6434.2,-4.199999999999818,,,
2022-09-23,202210,6333.4,6321.599999999999,-11.800000000000182,,,
2022-09-26,202210,6273.8,6262.8,-11.0,,,
2022-09-27,202210,6377.4,6396.6,19.200000000000728,,,
2022-09-28,202210,6240.2,6212.2,-28.0,,,
2022-09-29,202210,6215.0,6230.0,15.0,,,
2022-09-30,202210,6122.4,6108.2,-14.199999999999818,,,
2022-10-10,202210,5978.0,5970.200000000001,-7.799999999999272,,,
2022-10-11,202210,5996.6,5990.2,-6.400000000000546,,,
2022-10-12,202210,6135.0,6172.0,37.0,,,
2022-10-13,202210,6245.0,6237.2,-7.800000000000182,,,
2022-10-14,202210,6411.0,6414.0,3.0,,,
2022-10-17,202210,6466.6,6455.2,-11.400000000000546,,,
2022-10-18,202210,6491.4,6491.4,0.0,,,
2022-10-19,202210,6470.8,6460.0,-10.800000000000182,,,
2022-10-20,202211,6368.8,6362.8,-6.0,,,
2022-10-21,202211,6368.6,6382.0,13.399999999999636,,,
2022-10-24,202211,6332.2,6354.8,22.600000000000364,,,
2022-10-25,202211,6342.4,6339.0,-3.399999999999636,,,
2022-10-26,202211,6476.2,6492.6,16.400000000000546,,,
2022-10-27,202211,6484.8,6469.8,-15.0,,,
2022-10-28,202211,6250.8,6230.2,-20.600000000000364,,,
2022-10-31,202211,6274.2,6287.0,12.800000000000182,,,
2022-11-01,202211,6429.8,6467.8,38.0,,,
2022-11-02,202211,6528.8,6524.4,-4.400000000000546,,,
2022-11-03,202211,6567.2,6566.2,-1.0,,,
2022-11-04,202211,6731.2,6735.8,4.600000000000364,,,
2022-11-07,202211,6717.0,6709.0,-8.0,,,
2022-11-08,202211,6688.4,6707.0,18.600000000000364,,,
2022-11-09,202211,6683.2,6673.0,-10.199999999999818,,,
2022-11-10,202211,6619.2,6611.599999999999,-7.600000000000364,,,
2022-11-11,202211,6685.8,6647.0,-38.80000000000018,,,
2022-11-14,202211,6588.0,6593.2,5.199999999999818,,,
2022-11-15,202211,6738.0,6746.4,8.399999999999636,,,
2022-11-16,202211,6702.0,6697.8,-4.199999999999818,,,
2022-11-17,202212,6680.6,6710.599999999999,29.99999999999909,,,
2022-11-18,202212,6664.4,6656.400000000001,-7.999999999999091,,,
2022-11-21,202212,6685.4,6684.599999999999,-0.8000000000001819,,,
2022-11-22,202212,6545.6,6563.0,17.399999999999636,,,
2022-11-23,202212,6546.6,6555.0,8.399999999999636,,,
2022-11-24,202212,6564.6,6564.400000000001,-0.1999999999998181,,,
2022-11-25,202212,6501.8,6505.8,4.0,,,
2022-11-28,202212,6480.8,6491.6,10.800000000000182,,,
2022-11-29,202212,6598.8,6597.2,-1.6000000000003638,,,
2022-11-30,202212,6572.6,6582.599999999999,9.99999999999909,,,
2022-12-01,202212,6673.0,6665.0,-8.0,,,
2022-12-02,202212,6690.4,6682.8,-7.599999999999454,,,
